line_item_id,transaction_id,product_id,promotion_id,quantity,line_item_amount,customer_id,store_id,transaction_date,total_amount,customer_phone_x,product_name,product_category,unit_price,current_stock_level,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,customer_phone_y,customer_since,store_name,store_city,store_region,opening_date,promotion_name,start_date,end_date,discount_percentage,applicable_category
24,TXN100007,29,1.0,3,4684.53,13.0,3,2026-01-31 08:11:01.543511,554.45,6510463774,Ground,Home,1561.51,84,Whitney,joseph52@example.com,Silver,4389.0,2025-12-22,REG,5432282852.0,2024-12-27,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,Deep Sale,2026-01-06,2026-02-08,21.43,Grocery
25,TXN100008,7,,4,562.32,103.0,1,2026-01-29 08:11:01.543575,312.91,7564961202,Later,Grocery,140.58,481,Madison,michellewilson@example.org,Bronze,3354.0,2026-01-20,REG,8908973137.0,2022-06-14,Wood-Davis Store,Snyderport,Georgia,2024-04-15,,,,,
26,TXN100008,13,,2,3252.74,103.0,1,2026-01-29 08:11:01.543575,312.91,7564961202,Approach,Beauty,1626.37,739,Madison,michellewilson@example.org,Bronze,3354.0,2026-01-20,REG,8908973137.0,2022-06-14,Wood-Davis Store,Snyderport,Georgia,2024-04-15,,,,,
27,TXN100008,30,1.0,1,1882.02,103.0,1,2026-01-29 08:11:01.543575,312.91,7564961202,Send,Home,1882.02,876,Madison,michellewilson@example.org,Bronze,3354.0,2026-01-20,REG,8908973137.0,2022-06-14,Wood-Davis Store,Snyderport,Georgia,2024-04-15,Deep Sale,2026-01-06,2026-02-08,21.43,Grocery
28,TXN100009,4,,3,1318.08,10.0,5,2026-01-30 08:11:01.543626,2805.0,4205986339,Offer,Beauty,439.36,835,Yvonne,joseph33@example.com,Bronze,4218.0,2026-01-05,HS,2097191689.0,2021-11-26,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,,,,,
29,TXN100010,4,,2,878.72,73.0,2,2026-01-31 08:11:01.543673,1042.21,3447864470,Offer,Beauty,439.36,835,John,justin13@example.org,Silver,2200.0,2026-01-21,AR,7099186207.0,2024-04-07,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,
30,TXN100010,22,,4,2218.48,73.0,2,2026-01-31 08:11:01.543673,1042.21,3447864470,Raise,Beauty,554.62,207,John,justin13@example.org,Silver,2200.0,2026-01-21,AR,7099186207.0,2024-04-07,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,
31,TXN100010,17,,4,3633.2,73.0,2,2026-01-31 08:11:01.543673,1042.21,3447864470,Ask,Home,908.3,72,John,justin13@example.org,Silver,2200.0,2026-01-21,AR,7099186207.0,2024-04-07,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,
32,TXN100010,28,,4,7762.76,73.0,2,2026-01-31 08:11:01.543673,1042.21,3447864470,Loss,Apparel,1940.69,832,John,justin13@example.org,Silver,2200.0,2026-01-21,AR,7099186207.0,2024-04-07,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,
33,TXN100011,3,4.0,4,6324.36,10.0,4,2026-01-31 08:11:01.543716,4291.06,8672186690,Picture,Grocery,1581.09,882,Yvonne,joseph33@example.com,Bronze,4218.0,2026-01-05,HS,2097191689.0,2021-11-26,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,Follow Sale,2026-01-17,2026-02-19,6.19,Electronics
34,TXN100011,9,,1,382.52,10.0,4,2026-01-31 08:11:01.543716,4291.06,8672186690,Little,Grocery,382.52,271,Yvonne,joseph33@example.com,Bronze,4218.0,2026-01-05,HS,2097191689.0,2021-11-26,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
35,TXN100012,18,4.0,2,575.94,58.0,3,2026-01-30 08:11:01.543759,3214.85,8461323967,Process,Beauty,287.97,811,Jennifer,raymondstephens@example.com,Bronze,1154.0,2026-02-03,REG,8579850143.0,2024-03-15,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,Follow Sale,2026-01-17,2026-02-19,6.19,Electronics
36,TXN100012,22,,2,1109.24,58.0,3,2026-01-30 08:11:01.543759,3214.85,8461323967,Raise,Beauty,554.62,207,Jennifer,raymondstephens@example.com,Bronze,1154.0,2026-02-03,REG,8579850143.0,2024-03-15,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,
37,TXN100012,28,,2,3881.38,58.0,3,2026-01-30 08:11:01.543759,3214.85,8461323967,Loss,Apparel,1940.69,832,Jennifer,raymondstephens@example.com,Bronze,1154.0,2026-02-03,REG,8579850143.0,2024-03-15,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,
38,TXN100012,18,4.0,2,575.94,58.0,3,2026-01-30 08:11:01.543759,3214.85,8461323967,Process,Beauty,287.97,811,Jennifer,raymondstephens@example.com,Bronze,1154.0,2026-02-03,REG,8579850143.0,2024-03-15,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,Follow Sale,2026-01-17,2026-02-19,6.19,Electronics
39,TXN100012,23,,1,1341.92,58.0,3,2026-01-30 08:11:01.543759,3214.85,8461323967,Process,Home,1341.92,399,Jennifer,raymondstephens@example.com,Bronze,1154.0,2026-02-03,REG,8579850143.0,2024-03-15,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,
40,TXN100013,10,,2,353.7,26.0,1,2026-02-02 08:11:01.543824,3383.86,1567495299,Without,Beauty,176.85,721,Steven,cmills@example.net,Silver,659.0,2026-02-02,AR,3884523142.0,2023-12-05,Wood-Davis Store,Snyderport,Georgia,2024-04-15,,,,,
41,TXN100013,12,,2,3865.96,26.0,1,2026-02-02 08:11:01.543824,3383.86,1567495299,Hour,Grocery,1932.98,744,Steven,cmills@example.net,Silver,659.0,2026-02-02,AR,3884523142.0,2023-12-05,Wood-Davis Store,Snyderport,Georgia,2024-04-15,,,,,
42,TXN100013,26,,3,3348.27,26.0,1,2026-02-02 08:11:01.543824,3383.86,1567495299,Well,Grocery,1116.09,176,Steven,cmills@example.net,Silver,659.0,2026-02-02,AR,3884523142.0,2023-12-05,Wood-Davis Store,Snyderport,Georgia,2024-04-15,,,,,
43,TXN100013,20,5.0,1,117.06,26.0,1,2026-02-02 08:11:01.543824,3383.86,1567495299,Standard,Home,117.06,236,Steven,cmills@example.net,Silver,659.0,2026-02-02,AR,3884523142.0,2023-12-05,Wood-Davis Store,Snyderport,Georgia,2024-04-15,Result Sale,2026-01-12,2026-02-06,19.15,Beauty
44,TXN100014,15,,3,721.38,68.0,4,2026-01-31 08:11:01.543874,3672.72,3050565862,Tell,Home,240.46,357,Jesus,perezwillie@example.org,Silver,3923.0,2026-01-10,AR,4028126652.0,2024-06-22,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
45,TXN100014,1,,4,3057.64,68.0,4,2026-01-31 08:11:01.543874,3672.72,3050565862,Guy,Home,764.41,977,Jesus,perezwillie@example.org,Silver,3923.0,2026-01-10,AR,4028126652.0,2024-06-22,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
46,TXN100014,25,,1,1064.13,68.0,4,2026-01-31 08:11:01.543874,3672.72,3050565862,Money,Electronics,1064.13,60,Jesus,perezwillie@example.org,Silver,3923.0,2026-01-10,AR,4028126652.0,2024-06-22,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
47,TXN100014,10,2.0,4,707.4,68.0,4,2026-01-31 08:11:01.543874,3672.72,3050565862,Without,Beauty,176.85,721,Jesus,perezwillie@example.org,Silver,3923.0,2026-01-10,AR,4028126652.0,2024-06-22,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,Full Sale,2026-01-19,2026-02-17,15.89,Beauty
48,TXN100015,10,,1,176.85,118.0,3,2026-02-04 08:11:01.543923,3236.0,7625411394,Without,Beauty,176.85,721,Angela,griffinsteven@example.org,Silver,3444.0,2026-01-21,HS,8734302161.0,2022-12-02,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,
49,TXN100015,27,,1,410.47,118.0,3,2026-02-04 08:11:01.543923,3236.0,7625411394,Ball,Grocery,410.47,34,Angela,griffinsteven@example.org,Silver,3444.0,2026-01-21,HS,8734302161.0,2022-12-02,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,
50,TXN100016,16,,3,4152.75,29.0,4,2026-01-31 08:11:01.543966,4126.83,5027542457,Summer,Apparel,1384.25,898,Angela,glennbrown@example.net,Bronze,1986.0,2025-12-10,AR,5537567569.0,2025-11-24,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
51,TXN100016,5,,3,3158.28,29.0,4,2026-01-31 08:11:01.543966,4126.83,5027542457,Least,Beauty,1052.76,290,Angela,glennbrown@example.net,Bronze,1986.0,2025-12-10,AR,5537567569.0,2025-11-24,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
52,TXN100016,28,,4,7762.76,29.0,4,2026-01-31 08:11:01.543966,4126.83,5027542457,Loss,Apparel,1940.69,832,Angela,glennbrown@example.net,Bronze,1986.0,2025-12-10,AR,5537567569.0,2025-11-24,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
53,TXN100016,11,3.0,4,7601.32,29.0,4,2026-01-31 08:11:01.543966,4126.83,5027542457,Tough,Home,1900.33,315,Angela,glennbrown@example.net,Bronze,1986.0,2025-12-10,AR,5537567569.0,2025-11-24,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,Next Sale,2026-01-23,2026-02-09,23.25,ALL
54,TXN100016,11,5.0,4,7601.32,29.0,4,2026-01-31 08:11:01.543966,4126.83,5027542457,Tough,Home,1900.33,315,Angela,glennbrown@example.net,Bronze,1986.0,2025-12-10,AR,5537567569.0,2025-11-24,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,Result Sale,2026-01-12,2026-02-06,19.15,Beauty
55,TXN100017,27,,1,410.47,8.0,3,2026-02-01 08:11:01.544011,1133.82,8421382041,Ball,Grocery,410.47,34,Heather,vanessa13@example.org,Gold,202.0,2025-12-24,REG,8722920638.0,2025-10-20,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,
56,TXN100017,6,,3,3615.63,8.0,3,2026-02-01 08:11:01.544011,1133.82,8421382041,Daughter,Apparel,1205.21,475,Heather,vanessa13@example.org,Gold,202.0,2025-12-24,REG,8722920638.0,2025-10-20,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,
57,TXN100017,21,,1,1823.17,8.0,3,2026-02-01 08:11:01.544011,1133.82,8421382041,Draw,Apparel,1823.17,783,Heather,vanessa13@example.org,Gold,202.0,2025-12-24,REG,8722920638.0,2025-10-20,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,
58,TXN100017,26,,3,3348.27,8.0,3,2026-02-01 08:11:01.544011,1133.82,8421382041,Well,Grocery,1116.09,176,Heather,vanessa13@example.org,Gold,202.0,2025-12-24,REG,8722920638.0,2025-10-20,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,
59,TXN100018,26,,3,3348.27,83.0,4,2026-02-02 08:11:01.544061,2546.23,9779851129,Well,Grocery,1116.09,176,April,johnsonbeverly@example.org,Bronze,160.0,2025-12-18,HS,9815034358.0,2024-01-29,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
60,TXN100019,23,4.0,3,4025.76,33.0,5,2026-01-31 08:11:01.544110,784.19,9975940973,Process,Home,1341.92,399,James,staylor@example.org,Silver,1734.0,2026-01-11,HS,4610147119.0,2023-04-15,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,Follow Sale,2026-01-17,2026-02-19,6.19,Electronics
61,TXN100019,24,,1,657.84,33.0,5,2026-01-31 08:11:01.544110,784.19,9975940973,Technology,Electronics,657.84,512,James,staylor@example.org,Silver,1734.0,2026-01-11,HS,4610147119.0,2023-04-15,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,,,,,
62,TXN100019,25,4.0,2,2128.26,33.0,5,2026-01-31 08:11:01.544110,784.19,9975940973,Money,Electronics,1064.13,60,James,staylor@example.org,Silver,1734.0,2026-01-11,HS,4610147119.0,2023-04-15,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,Follow Sale,2026-01-17,2026-02-19,6.19,Electronics
63,TXN100020,12,,3,5798.94,95.0,4,2026-01-30 08:11:01.544162,2964.47,1729942309,Hour,Grocery,1932.98,744,Christopher,zachary01@example.net,Silver,954.0,2026-01-14,REG,2596760758.0,2021-11-03,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
64,TXN100020,3,2.0,1,1581.09,95.0,4,2026-01-30 08:11:01.544162,2964.47,1729942309,Picture,Grocery,1581.09,882,Christopher,zachary01@example.net,Silver,954.0,2026-01-14,REG,2596760758.0,2021-11-03,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,Full Sale,2026-01-19,2026-02-17,15.89,Beauty
65,TXN100020,30,,4,7528.08,95.0,4,2026-01-30 08:11:01.544162,2964.47,1729942309,Send,Home,1882.02,876,Christopher,zachary01@example.net,Silver,954.0,2026-01-14,REG,2596760758.0,2021-11-03,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
66,TXN100021,6,,3,3615.63,28.0,4,2026-02-03 08:11:01.544222,4986.9,6460469759,Daughter,Apparel,1205.21,475,Jason,acevedoheather@example.com,Gold,1369.0,2026-01-08,REG,7890100057.0,2021-09-27,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
67,TXN100021,23,5.0,2,2683.84,28.0,4,2026-02-03 08:11:01.544222,4986.9,6460469759,Process,Home,1341.92,399,Jason,acevedoheather@example.com,Gold,1369.0,2026-01-08,REG,7890100057.0,2021-09-27,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,Result Sale,2026-01-12,2026-02-06,19.15,Beauty
68,TXN100021,9,5.0,4,1530.08,28.0,4,2026-02-03 08:11:01.544222,4986.9,6460469759,Little,Grocery,382.52,271,Jason,acevedoheather@example.com,Gold,1369.0,2026-01-08,REG,7890100057.0,2021-09-27,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,Result Sale,2026-01-12,2026-02-06,19.15,Beauty
69,TXN100021,11,2.0,1,1900.33,28.0,4,2026-02-03 08:11:01.544222,4986.9,6460469759,Tough,Home,1900.33,315,Jason,acevedoheather@example.com,Gold,1369.0,2026-01-08,REG,7890100057.0,2021-09-27,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,Full Sale,2026-01-19,2026-02-17,15.89,Beauty
70,TXN100021,10,4.0,1,176.85,28.0,4,2026-02-03 08:11:01.544222,4986.9,6460469759,Without,Beauty,176.85,721,Jason,acevedoheather@example.com,Gold,1369.0,2026-01-08,REG,7890100057.0,2021-09-27,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,Follow Sale,2026-01-17,2026-02-19,6.19,Electronics
71,TXN100022,17,,3,2724.9,96.0,2,2026-01-29 08:11:01.544285,330.87,8463770849,Ask,Home,908.3,72,Jeffrey,qjones@example.com,Bronze,4565.0,2026-01-10,AR,6718004262.0,2023-09-20,"Arellano, Clark and Phelps Store",Wolfeland,Minnesota,2019-09-15,,,,,
72,TXN100023,22,,3,1663.86,76.0,4,2026-01-31 08:11:01.544334,411.29,994490337,Raise,Beauty,554.62,207,Emma,dawn52@example.org,Gold,4433.0,2026-01-28,REG,1814523155.0,2025-05-28,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
73,TXN100023,23,,4,5367.68,76.0,4,2026-01-31 08:11:01.544334,411.29,994490337,Process,Home,1341.92,399,Emma,dawn52@example.org,Gold,4433.0,2026-01-28,REG,1814523155.0,2025-05-28,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
74,TXN100023,9,,1,382.52,76.0,4,2026-01-31 08:11:01.544334,411.29,994490337,Little,Grocery,382.52,271,Emma,dawn52@example.org,Gold,4433.0,2026-01-28,REG,1814523155.0,2025-05-28,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
77,TXN100025,22,,3,1663.86,98.0,4,2026-02-02 08:11:01.544450,3240.71,9639717725,Raise,Beauty,554.62,207,Michael,emilyclay@example.net,Gold,1045.0,2025-12-27,AR,730964499.0,2022-10-05,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
78,TXN100025,28,,3,5822.07,98.0,4,2026-02-02 08:11:01.544450,3240.71,9639717725,Loss,Apparel,1940.69,832,Michael,emilyclay@example.net,Gold,1045.0,2025-12-27,AR,730964499.0,2022-10-05,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
79,TXN100025,27,4.0,1,410.47,98.0,4,2026-02-02 08:11:01.544450,3240.71,9639717725,Ball,Grocery,410.47,34,Michael,emilyclay@example.net,Gold,1045.0,2025-12-27,AR,730964499.0,2022-10-05,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,Follow Sale,2026-01-17,2026-02-19,6.19,Electronics
80,TXN100025,16,5.0,1,1384.25,98.0,4,2026-02-02 08:11:01.544450,3240.71,9639717725,Summer,Apparel,1384.25,898,Michael,emilyclay@example.net,Gold,1045.0,2025-12-27,AR,730964499.0,2022-10-05,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,Result Sale,2026-01-12,2026-02-06,19.15,Beauty
81,TXN100025,9,,2,765.04,98.0,4,2026-02-02 08:11:01.544450,3240.71,9639717725,Little,Grocery,382.52,271,Michael,emilyclay@example.net,Gold,1045.0,2025-12-27,AR,730964499.0,2022-10-05,Berry-Davis Store,Torresburgh,Alaska,2024-07-26,,,,,
82,TXN100026,6,4.0,2,2410.42,58.0,3,2026-02-02 08:11:01.544507,115.9,5848011306,Daughter,Apparel,1205.21,475,Jennifer,raymondstephens@example.com,Bronze,1154.0,2026-02-03,REG,8579850143.0,2024-03-15,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,Follow Sale,2026-01-17,2026-02-19,6.19,Electronics
83,TXN100026,7,,1,140.58,58.0,3,2026-02-02 08:11:01.544507,115.9,5848011306,Later,Grocery,140.58,481,Jennifer,raymondstephens@example.com,Bronze,1154.0,2026-02-03,REG,8579850143.0,2024-03-15,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,
84,TXN100027,23,,4,5367.68,64.0,3,2026-02-01 08:11:01.544560,4571.88,8189259679,Process,Home,1341.92,399,Paula,rlozano@example.com,Gold,4682.0,2025-12-10,REG,431652591.0,2025-07-24,Garcia LLC Store,New Karenchester,Georgia,2020-05-29,,,,,
85,TXN100028,30,5.0,1,1882.02,19.0,5,2026-02-04 08:11:01.544619,1932.18,4288622670,Send,Home,1882.02,876,Alicia,catherine28@example.net,Silver,608.0,2025-12-08,AR,8753354458.0,2026-01-10,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,Result Sale,2026-01-12,2026-02-06,19.15,Beauty
86,TXN100028,24,,3,1973.52,19.0,5,2026-02-04 08:11:01.544619,1932.18,4288622670,Technology,Electronics,657.84,512,Alicia,catherine28@example.net,Silver,608.0,2025-12-08,AR,8753354458.0,2026-01-10,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,,,,,
90,TXN100030,8,,4,4938.84,30.0,1,2026-02-03 08:11:01.544730,383.83,6060536123,Weight,Grocery,1234.71,746,Adam,dchase@example.org,Gold,146.0,2025-12-13,AR,2142408861.0,2023-06-21,Wood-Davis Store,Snyderport,Georgia,2024-04-15,,,,,
91,TXN100030,14,,1,644.0,30.0,1,2026-02-03 08:11:01.544730,383.83,6060536123,Consider,Apparel,644.0,768,Adam,dchase@example.org,Gold,146.0,2025-12-13,AR,2142408861.0,2023-06-21,Wood-Davis Store,Snyderport,Georgia,2024-04-15,,,,,
92,TXN100030,29,,3,4684.53,30.0,1,2026-02-03 08:11:01.544730,383.83,6060536123,Ground,Home,1561.51,84,Adam,dchase@example.org,Gold,146.0,2025-12-13,AR,2142408861.0,2023-06-21,Wood-Davis Store,Snyderport,Georgia,2024-04-15,,,,,
93,TXN100030,26,1.0,3,3348.27,30.0,1,2026-02-03 08:11:01.544730,383.83,6060536123,Well,Grocery,1116.09,176,Adam,dchase@example.org,Gold,146.0,2025-12-13,AR,2142408861.0,2023-06-21,Wood-Davis Store,Snyderport,Georgia,2024-04-15,Deep Sale,2026-01-06,2026-02-08,21.43,Grocery
94,TXN100030,18,3.0,4,1151.88,30.0,1,2026-02-03 08:11:01.544730,383.83,6060536123,Process,Beauty,287.97,811,Adam,dchase@example.org,Gold,146.0,2025-12-13,AR,2142408861.0,2023-06-21,Wood-Davis Store,Snyderport,Georgia,2024-04-15,Next Sale,2026-01-23,2026-02-09,23.25,ALL
95,TXN100031,28,3.0,3,5822.07,93.0,5,2026-02-02 08:11:01.544801,2481.35,7717375354,Loss,Apparel,1940.69,832,Andrew,hughesjill@example.com,Gold,2735.0,2026-01-20,HS,1201197950.0,2022-05-07,"Warren, Smith and Smith Store",North Marissa,Washington,2022-12-01,Next Sale,2026-01-23,2026-02-09,23.25,ALL
